,track_name,artist_name,album_name,album_img,track_popularity,track_open_spotify_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
37,Purest of Pain - English Version,Son By Four,Son By 4,https://i.scdn.co/image/2d8b4cbe5aec9f1229962219c4664b6db9d76d16,39,https://open.spotify.com/track/1MOqMyQ7CULmWWjovkFY5B,0.565,0.547,C,-7.722,major,0.0347,0.579,0,0.194,0.252,75.018,209320,4
38,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),2gether,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff) - Single,https://i.scdn.co/image/ff19cd7211758b370b078580c9298d6921cf707a,14,https://open.spotify.com/track/1hVUDzhWm9Uok4iKvzaNLx,0.83,0.948,A,-3.973,minor,0.0455,0.106,2.29E-06,0.105,0.931,111.993,197627,4
39,Give Me Just One Night (Una Noche),98 Degrees,Revelation,https://i.scdn.co/image/3b94cf4b5c1abd5e588d43defaecd09310b97683,12,https://open.spotify.com/track/5AidfyuWk9NlMGLW7IJe1X,0.648,0.794,C,-5.985,major,0.0577,0.0587,0,0.0896,0.662,123.915,205160,4
40,Peaches and Cream,112,Part III,https://i.scdn.co/image/47d76552cc80b6036a750535c83dbb1a29711bae,67,https://open.spotify.com/track/2SLZ2rX5773RS16mcqBxG7,0.677,0.52,E,-6.255,minor,0.334,0.00277,0,0.0532,0.768,203.862,193093,4
41,All or Nothing,O-Town,O-Town,https://i.scdn.co/image/4f335ea4bdb6defa0eb06afefa1fc853c7c3eb22,41,https://open.spotify.com/track/1TBIHWmr1r34J2s0eSfA7U,0.644,0.473,C,-5.201,major,0.0282,0.205,0,0.183,0.252,126.925,281427,4
42,Where the Party At (feat. Nelly),Jagged Edge,Jagged Little Thrill,https://i.scdn.co/image/53fc70bff70fae9ec99fa633e1dc6ea622bc143c,68,https://open.spotify.com/track/5mNV8Mz59bzyuQ53gTw0c0,0.596,0.661,F,-6.239,minor,0.226,0.31,0,0.0847,0.86,129.491,232573,5
43,"Bump, Bump, Bump",B2K,Greatest Hits,https://i.scdn.co/image/567fb374d6e891d6243d914c69acf6524957defb,67,https://open.spotify.com/track/74jMwg2zsFMICzW3Wems6h,0.833,0.681,C#,-6.028,minor,0.215,0.0956,0,0.0414,0.887,95.48,282533,4
44,Just the Girl,The Click Five,Greetings From Imrie House (U.S. Version),https://i.scdn.co/image/24327b5905238b40a3f64813f1b2e9b4c008c035,58,https://open.spotify.com/track/1JURww012QnWAw0zZXi6Aa,0.571,0.89,A,-1.6,major,0.0395,0.00509,0,0.0769,0.751,110.958,234147,4
45,Ella Y Yo - Featuring Don Omar,Aventura,God's Project,https://i.scdn.co/image/a91e4ed945ad20bd56f04b1c977eaf7240bcea22,73,https://open.spotify.com/track/6G4U9avyBNEfP0fAIduev3,0.732,0.708,A,-7.905,minor,0.262,0.534,0,0.237,0.717,175.924,267787,4
46,Got Me Going,Day26,DAY26,https://i.scdn.co/image/3555789b2efa154641e2f662bf37e080a2ca97f5,38,https://open.spotify.com/track/6Qqp1NCiy8Ps6EtOL1yjeb,0.755,0.728,F,-6.676,minor,0.0786,0.0914,0,0.0937,0.537,108.816,282373,4
47,Burnin' Up,Jonas Brothers,A Little Bit Longer,https://i.scdn.co/image/11e34239b12e6f7d86a18343941def6c164225ef,45,https://open.spotify.com/track/72jGj8k9C7DIQesDYenUT3,0.667,0.954,D,-3.462,major,0.0817,0.0296,0,0.331,0.807,114,175093,4
48,Boyfriend,Big Time Rush,BTR,https://i.scdn.co/image/6f5422abd82470c4578c53dff62d4c1097690887,62,https://open.spotify.com/track/1rKBOL9kJfX1Y4C3QaOvRH,0.614,0.857,C#,-4.171,minor,0.111,0.0987,0,0.177,0.677,164.146,201040,4
49,Mrs. Right,Mindless Behavior,#1 Girl,https://i.scdn.co/image/d8c865cba9f838ec6fc21b9b90a38da6401cb6ce,46,https://open.spotify.com/track/4N4CHJqFZHyB7SBUuSFu1y,0.384,0.744,G#,-4.754,major,0.185,0.0496,0,0.0863,0.52,71.521,248187,4
50,Glad You Came,The Wanted,The Wanted (Special Edition),https://i.scdn.co/image/9d824eac59596b74af339d22d9ec07f73c3dbd26,67,https://open.spotify.com/track/3AGOgQzp0YcPH41u9p7dOp,0.755,0.838,G,-4.5,minor,0.0687,0.0643,1.59E-05,0.118,0.473,126.877,198187,4
51,Best Song Ever,One Direction,Midnight Memories (Deluxe),https://i.scdn.co/image/fa3dd6a5fab74f40b020da009825209c807213d3,70,https://open.spotify.com/track/5T7ZFtCcOgkpjxcuaeZbw0,0.652,0.877,C#,-2.986,major,0.0465,0.0227,0,0.0789,0.486,118.491,200107,4
52,Amnesia,5 Seconds of Summer,5 Seconds Of Summer,https://i.scdn.co/image/352169f04bd874c4d8f631f5e59a290a8c21cf7a,66,https://open.spotify.com/track/1JCCdiru7fhstOIF4N7WJC,0.572,0.499,D,-5.237,major,0.0311,0.0283,0,0.213,0.108,101.593,237248,4
53,Behind the Wall,Guys Next Door,Behind the Wall,https://i.scdn.co/image/937d44e097de3ad7d0410c04f8309e58ec1bf57d,5,https://open.spotify.com/track/5thWRVnwKuXL50vGz8RR3d,0.416,0.317,C#,-11.163,major,0.116,0.149,0.479,0.139,0.0587,75.557,193385,5
54,So In Love with You,U.N.V.,The Greatest 90s Soul,https://i.scdn.co/image/38a5b943f15d6b491ecc9fc485589a036fdf4aab,11,https://open.spotify.com/track/6Md0G8rCT0J5QNdKrsYBOy,0.501,0.376,F,-10.617,major,0.027,0.462,0,0.162,0.153,136.871,273427,4
55,Whoomp! (There It Is),soulDecision,Whoomp! There It Is,https://i.scdn.co/image/e8d59a64daf7e91c331797da1fe61b21d21d74c0,53,https://open.spotify.com/track/4EEGHbMUyS07PNVXSGB7Qg,0.8,0.639,E,-7.406,minor,0.0439,0.00123,0,0.0803,0.45,129.443,226027,4
